I0510 11:23:12.757958  2834 main.cpp:243] Build: 2019-05-09 21:42:43 by root
I0510 11:23:12.758042  2834 main.cpp:244] Version: 1.8.0
I0510 11:23:12.758049  2834 main.cpp:247] Git tag: 1.8.0-rc3
I0510 11:23:12.758052  2834 main.cpp:251] Git SHA: acefa90695a32f8e8d6361f8192a6522aeaadbb9
I0510 11:23:12.761667  2834 main.cpp:345] Using 'hierarchical' allocator
I0510 11:23:13.070502  2834 replica.cpp:795] Replica recovered with log positions 0 -> 0 with 1 holes and 0 unlearned
I0510 11:23:13.169545  2840 recover.cpp:437] Starting replica recovery
I0510 11:23:13.180414  2840 recover.cpp:468] Replica is in EMPTY status
I0510 11:23:13.198905  2842 replica.cpp:677] Replica in EMPTY status received a broadcasted recover request from __req_res__(1)@192.168.1.5:5050
I0510 11:23:13.220152  2835 recover.cpp:197] Received a recover response from a replica in EMPTY status
I0510 11:23:13.221138  2840 recover.cpp:564] Updating replica status to STARTING
I0510 11:23:13.304217  2834 master.cpp:440] Master 55850c2a-f77e-41ae-bb91-b469d7c26552 (jouko-Gazelle-Professional) started on 192.168.1.5:5050
I0510 11:23:13.304255  2834 master.cpp:443] Flags at startup: --agent_ping_timeout="15secs" --agent_reregister_timeout="10mins" --allocation_interval="1secs" --allocator="hierarchical" --authenticate_agents="false" --authenticate_frameworks="false" --authenticate_http_frameworks="false" --authenticate_http_readonly="false" --authenticate_http_readwrite="false" --authentication_v0_timeout="15secs" --authenticators="crammd5" --authorizers="local" --filter_gpu_resources="true" --framework_sorter="drf" --help="false" --hostname_lookup="true" --http_authenticators="basic" --initialize_driver_logging="true" --ip="192.168.1.5" --log_auto_initialize="true" --logbufsecs="0" --logging_level="INFO" --max_agent_ping_timeouts="5" --max_completed_frameworks="50" --max_completed_tasks_per_framework="1000" --max_operator_event_stream_subscribers="1000" --max_unreachable_tasks_per_framework="1000" --memory_profiling="false" --min_allocatable_resources="cpus:0.01|mem:32" --port="5050" --publish_per_framework_metrics="true" --quiet="false" --recovery_agent_removal_limit="100%" --registry="replicated_log" --registry_fetch_timeout="1mins" --registry_gc_interval="15mins" --registry_max_agent_age="2weeks" --registry_max_agent_count="102400" --registry_store_timeout="20secs" --registry_strict="false" --require_agent_domain="false" --role_sorter="drf" --root_submissions="true" --version="false" --webui_dir="/usr/local/share/mesos/webui" --work_dir="/home/jouko/mesos_work_dir" --zk_session_timeout="10secs"
I0510 11:23:13.304531  2834 master.cpp:494] Master allowing unauthenticated frameworks to register
I0510 11:23:13.304538  2834 master.cpp:500] Master allowing unauthenticated agents to register
I0510 11:23:13.304541  2834 master.cpp:507] Master allowing HTTP frameworks to register without authentication
I0510 11:23:13.318867  2842 replica.cpp:322] Persisted replica status to STARTING
I0510 11:23:13.319067  2834 master.cpp:548] Using default 'crammd5' authenticator
W0510 11:23:13.319101  2834 authenticator.cpp:513] No credentials provided, authentication requests will be refused
I0510 11:23:13.319109  2834 authenticator.cpp:520] Initializing server SASL
I0510 11:23:13.336393  2840 recover.cpp:468] Replica is in STARTING status
I0510 11:23:13.337338  2841 replica.cpp:677] Replica in STARTING status received a broadcasted recover request from __req_res__(2)@192.168.1.5:5050
I0510 11:23:13.337764  2842 recover.cpp:197] Received a recover response from a replica in STARTING status
I0510 11:23:13.338165  2838 recover.cpp:564] Updating replica status to VOTING
I0510 11:23:13.402319  2835 replica.cpp:322] Persisted replica status to VOTING
I0510 11:23:13.402463  2840 recover.cpp:578] Successfully joined the Paxos group
I0510 11:23:13.460307  2842 master.cpp:2141] Elected as the leading master!
I0510 11:23:13.460336  2842 master.cpp:1664] Recovering from registrar
I0510 11:23:13.475822  2841 log.cpp:554] Attempting to start the writer
I0510 11:23:13.517930  2837 replica.cpp:497] Replica received implicit promise request from __req_res__(3)@192.168.1.5:5050 with proposal 1
I0510 11:23:13.560958  2837 replica.cpp:344] Persisted promised to 1
I0510 11:23:13.562549  2842 coordinator.cpp:238] Coordinator attempting to fill missing positions
I0510 11:23:13.564891  2837 replica.cpp:391] Replica received explicit promise request from __req_res__(4)@192.168.1.5:5050 for position 0 with proposal 2
I0510 11:23:13.596247  2835 replica.cpp:541] Replica received write request for position 0 from __req_res__(5)@192.168.1.5:5050
I0510 11:23:13.628933  2840 replica.cpp:695] Replica received learned notice for position 0 from log-network(1)@192.168.1.5:5050
I0510 11:23:13.687331  2838 log.cpp:570] Writer started with ending position 0
I0510 11:23:13.693492  2840 registrar.cpp:383] Successfully fetched the registry (0B) in 224.982784ms
I0510 11:23:13.693732  2840 registrar.cpp:487] Applied 1 operations in 88948ns; attempting to update the registry
I0510 11:23:13.712225  2840 coordinator.cpp:348] Coordinator attempting to write APPEND action at position 1
I0510 11:23:13.713248  2840 replica.cpp:541] Replica received write request for position 1 from __req_res__(6)@192.168.1.5:5050
I0510 11:23:13.762292  2835 replica.cpp:695] Replica received learned notice for position 1 from log-network(1)@192.168.1.5:5050
I0510 11:23:13.796897  2841 registrar.cpp:544] Successfully updated the registry in 103.04384ms
I0510 11:23:13.797091  2841 registrar.cpp:416] Successfully recovered registrar
I0510 11:23:13.797358  2839 coordinator.cpp:348] Coordinator attempting to write TRUNCATE action at position 2
I0510 11:23:13.797725  2840 master.cpp:1790] Recovered 0 agents from the registry (162B); allowing 10mins for agents to reregister
I0510 11:23:13.798018  2838 replica.cpp:541] Replica received write request for position 2 from __req_res__(7)@192.168.1.5:5050
I0510 11:23:13.837234  2835 replica.cpp:695] Replica received learned notice for position 2 from log-network(1)@192.168.1.5:5050
I0510 11:27:28.610605  2841 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._0 from 192.168.1.5:40702 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:27:28.667323  2842 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._0 from 192.168.1.5:40702: '200 OK' after 374.227ms
I0510 11:27:38.727288  2835 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._2 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:27:38.728519  2841 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._2 from 192.168.1.5:40714: '200 OK' after 3.05382ms
I0510 11:27:48.766316  2842 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._4 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:27:48.767544  2835 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._4 from 192.168.1.5:40714: '200 OK' after 3.04614ms
I0510 11:27:58.782177  2842 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._6 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:27:58.783279  2840 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._6 from 192.168.1.5:40714: '200 OK' after 2.93299ms
I0510 11:28:08.810418  2839 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._8 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:28:08.811700  2837 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._8 from 192.168.1.5:40714: '200 OK' after 3.08378ms
I0510 11:28:18.839284  2838 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._a from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:28:18.840337  2841 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._a from 192.168.1.5:40714: '200 OK' after 2.89024ms
I0510 11:28:28.873543  2842 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._c from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:28:28.874740  2837 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._c from 192.168.1.5:40714: '200 OK' after 3.10707ms
I0510 11:28:38.898391  2842 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._e from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:28:38.899606  2838 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._e from 192.168.1.5:40714: '200 OK' after 3.15136ms
I0510 11:28:48.935174  2836 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._g from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:28:48.936398  2835 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._g from 192.168.1.5:40714: '200 OK' after 3.18515ms
I0510 11:28:58.975603  2835 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._i from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:28:58.976649  2838 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._i from 192.168.1.5:40714: '200 OK' after 2.76403ms
I0510 11:29:09.009081  2842 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._k from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:29:09.010272  2841 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._k from 192.168.1.5:40714: '200 OK' after 3.12115ms
